단상2선 Circuit Breaker,,,,
AF,W,H,Class,Top Margin
30,50,130,소형,200 mm
50,50,130,소형,200 mm
100,50,130,소형,200 mm
125,60,155,중형,250 mm
250,105,165,중형,250 mm
400,140,257,대형,400 mm
630,210,280,특대,550 mm
800,210,280,특대,550 mm
3상3선 Circuit Breaker,,,,
AF,W,H,Class,Top Margin
30,75,130,소형,200 mm
50,75,130,소형,200 mm
100,75,130,소형,200 mm
125,90,155,중형,250 mm
250,105,165,중형,250 mm
400,140,257,대형,400 mm
630,210,280,특대,550 mm
800,210,280,특대,550 mm
3상4선 Circuit Breaker,,,,
AF,W,H,Class,Top Margin
30,100,130,소형,200 mm
50,100,130,소형,200 mm
100,100,130,소형,200 mm
125,120,155,중형,250 mm
250,140,165,중형,250 mm
400,184,257,대형,400 mm
630,280,280,특대,550 mm
800,280,280,특대,550 mm
