" * XLPE 또는 EPR 절연, 2개 부하 도체, 구리, 도체 온도：90 ℃",,,,,,,
1φ - 공사방법에 따른 허용전류,,,,,,,
㎟,A1,B1,A2,B2,E,F,D
1.5,19.0 ,23,18.5 ,22,26.0 ,,25.0 
2.5,26.00 ,31,25.00 ,30,36.00 ,,33.00 
4,35.00 ,42,33.00 ,40,49.00 ,,43.00 
6,45.00 ,54,42.00 ,51,63.00 ,,53.00 
10,61.00 ,75,57.00 ,69,86.00 ,,71.00 
16,81.00 ,100,76.00 ,91,115.00 ,,91.00 
25,106.00 ,133,99.00 ,119,149.00 ,161,116.00 
35,131.00 ,164,121.00 ,146,185.00 ,200,139.00 
50,158.00 ,198,145.00 ,175,225.00 ,242,164.00 
70,200.00 ,253,183.00 ,221,289.00 ,310,203.00 
95,241.00 ,306,220.00 ,265,352.00 ,377,239.00 
120,278.00 ,354,253.00 ,305,410.00 ,437,271.00 
150,318.00 ,393,290.00 ,334,473.00 ,504,306.00 
185,362.00 ,449,329.00 ,384,542.00 ,575,343.00 
240,424.00 ,528,386.00 ,459,641.00 ,679,395.00 
300,486.00 ,603,442.00 ,532,741.00 ,783,446.00 
" * XLPE 또는 EPR 절연, 3개 부하 도체, 구리, 도체 온도：90 ℃",,,,,,,
   3φ - 공사방법에 따른 허용전류,,,,,,,
㎟,A1,B1,A2,B2,E,F,D
1.5,17.0 ,20,16.5 ,19.5,23.0 ,,22.0 
2.5,23.00 ,28,22.00 ,26,32.00 ,,28.00 
4,31.00 ,37,30.00 ,35,42.00 ,,36.00 
6,40.00 ,48,38.00 ,44,54.00 ,,44.00 
10,54.00 ,66,51.00 ,60,75.00 ,,58.00 
16,73.00 ,88,68.00 ,80,100.00 ,,75.00 
25,95.00 ,117,89.00 ,105,127.00 ,141,96.00 
35,117.00 ,144,109.00 ,128,158.00 ,176,115.00 
50,141.00 ,175,130.00 ,154,192.00 ,216,135.00 
70,179.00 ,222,164.00 ,194,246.00 ,279,167.00 
95,216.00 ,269,197.00 ,233,298.00 ,342,197.00 
120,249.00 ,312,227.00 ,268,346.00 ,400,223.00 
150,285.00 ,342,259.00 ,300,399.00 ,464,251.00 
185,324.00 ,384,295.00 ,340,456.00 ,533,281.00 
240,380.00 ,450,346.00 ,398,538.00 ,634,324.00 
300,435.00 ,514,396.00 ,455,621.00 ,736,365.00 
