* CABLE Outer Diameter & Weight,,,,,,,,,,,,
" 1) 0.6/1kV FW-CV, F-CV, HFCO, CV",,,,,,,,,,,,
,1C,,,2C,,,3C,,,4C,,
공칭단면적,외경,단면적,중량,외경,단면적,중량,외경,단면적,중량,외경,단면적,중량
mm²,mm,mm²,kg/km,mm,mm²,kg/km,mm,mm²,kg/km,mm,mm²,kg/km
1.5,6.3,31.17,50,11,95.03,120,11.5,103.87,150,12.5,122.72,170
2.5,6.7,35.26,70,12,113.10,150,12.5,122.72,180,13.5,143.14,220
4,7.2,40.72,90,13,132.73,190,13.5,143.14,240,14.5,165.13,290
6,7.8,47.78,110,14,153.94,240,14.5,165.13,310,16,201.06,380
10,9.4,69.40,170,17,226.98,330,18,254.47,450,20,314.16,570
16,10,78.54,210,18.5,268.80,450,19.5,298.65,610,22,380.13,790
25,12,113.10,310,22,380.13,660,23,415.48,900,26,530.93,1180
35,13,132.73,400,24,452.39,880,25,490.87,1210,28,615.75,1550
50,14.5,165.13,520,27,572.56,1150,29,660.52,1560,32,804.25,2060
70,16,201.06,720,31,754.77,1610,33,855.30,2200,36,"1,017.88",2930
95,18.5,268.80,970,35,962.11,2170,37,"1,075.21",2970,42,"1,385.44",3970
120,20,314.16,1210,38,"1,134.11",2670,41,"1,320.25",3790,46,"1,661.90",4980
150,22,380.13,1490,43,"1,452.20",3310,46,"1,661.90",4670,51,"2,042.82",6130
185,24,452.39,1840,47,"1,734.94",4110,50,"1,963.50",5830,56,"2,463.01",7660
20,27,572.56,2400,53,"2,206.18",5340,57,"2,551.76",7580,63,"3,117.25",9960
300,30,706.86,2980,58,"2,642.08",6630,62,"3,019.07",9400,70,"3,848.45",12380
400,34,907.92,3800,,,,,,,,,
500,37,"1,075.21",4850,,,,,,,,,
630,42,"1,385.44",6240,,,,,,,,,
,,,,,,,,,,,,
" 2) 0.6/1kV F-FR-8, NFR-8",,,,,,,,,,,,
,1C,,,2C,,,3C,,,4C,,
공칭단면적,외경,단면적,중량,외경,단면적,중량,외경,단면적,중량,외경,단면적,중량
mm²,mm,mm²,kg/km,mm,mm²,kg/km,mm,mm²,kg/km,mm,mm²,kg/km
1.5,8.5,56.75,60,14,153.94,130,15,176.71,170,16,201.06,190
2.5,9,63.62,80,15,176.71,170,16,201.06,200,17,226.98,250
4,9.5,70.88,100,16,201.06,210,17,226.98,270,18.5,268.80,330
6,10,78.54,120,17.5,240.53,260,18.5,268.80,340,20,314.16,420
10,11,95.03,180,19.5,298.65,350,20.5,330.06,470,22.5,397.61,600
16,12,113.10,220,21,346.36,470,22,380.13,640,24.5,471.44,820
25,13.5,143.14,320,24.5,471.44,680,26,530.93,930,28.5,637.94,1220
35,15,176.71,430,26.5,551.55,910,28.5,637.94,1250,31.5,779.31,1600
50,16.5,213.82,540,30,706.86,1180,32,804.25,1600,35.5,989.80,2110
70,18.5,268.80,740,34.5,934.82,1640,37,"1,075.21",2240,41,"1,320.25",2990
95,20.5,330.06,990,38,"1,134.11",2210,41,"1,320.25",3020,45.5,"1,625.97",4040
120,22.5,397.61,1230,42,"1,385.44",2710,45.5,"1,625.97",3850,50.5,"2,002.96",5050
150,25,490.87,1530,46.5,"1,698.23",3390,50.5,"2,002.96",4790,56,"2,463.01",6280
185,27,572.56,1890,51,"2,042.82",4200,55.5,"2,419.22",5960,61.5,"2,970.57",7830
240,30,706.86,2450,57.5,"2,596.72",5440,62,"3,019.07",7730,69,"3,739.28",10160
300,33,855.30,3040,63,"3,117.25",6740,68,"3,631.68",9570,76,"4,536.46",12600
400,36.5,"1,046.35",3860,,,,,,,,,
500,41,"1,320.25",4920,,,,,,,,,
630,46,"1,661.90",6320,,,,,,,,,
,,,,,,,,,,,,
 3) 0.6/1kV F-GV,,,,,,,,,,,,
공칭단면적,외경,단면적,중량,,,,,,,,,
mm²,mm,mm²,kg/km,,,,,,,,,
